Stage,Assignment,Wait Type,Time
Find,1,work,193
Find,1,wait,252
Find,2,work,12
Find,2,wait,510
Find,3,work,161
Find,3,wait,602
Find,4,work,21
Find,4,wait,842
Find,5,work,94
Find,5,wait,931
Find,6,work,68
Find,6,wait,1126
Find,7,work,56
Find,7,wait,1519
Find,8,work,14
Find,8,wait,1873
Find,9,work,168
Find,9,wait,1762
Find,10,work,132
Find,10,wait,3577
