Stage,Assignment,Wait Type,Time
Find,1,work,9
Find,1,wait,30
Find,2,work,14
Find,2,wait,32
Find,3,work,17
Find,3,wait,82
Find,4,work,14
Find,4,wait,193
Find,5,work,41
Find,5,wait,371
Find,6,work,59
Find,6,wait,491
Find,7,work,26
Find,7,wait,787
Find,8,work,59
Find,8,wait,997
Find,1,work,15
Find,1,wait,16
Find,2,work,12
Find,2,wait,39
Find,3,work,12
Find,3,wait,117
Find,4,work,13
Find,4,wait,206
Find,5,work,41
Find,5,wait,328
Find,6,work,84
Find,6,wait,337
Find,1,work,16
Find,1,wait,11
Find,2,work,14
Find,2,wait,101
Find,3,work,24
Find,3,wait,219
Find,4,work,145
Find,4,wait,182
Find,5,work,48
Find,5,wait,437
Find,6,work,50
Find,6,wait,732
