Stage,Assignment,Wait Type,Time
Find,1,work,23
Find,1,wait,175
Find,2,work,13
Find,2,wait,286
Find,3,work,15
Find,3,wait,361
Find,4,work,24
Find,4,wait,399
Find,5,work,28
Find,5,wait,773
Find,6,work,29
Find,6,wait,921
Find,7,work,127
Find,7,wait,1145
Find,1,work,12
Find,1,wait,107
Find,2,work,11
Find,2,wait,318
Find,3,work,10
Find,3,wait,350
Find,4,work,13
Find,4,wait,352
Find,5,work,59
Find,5,wait,815
Find,6,work,34
Find,6,wait,1316
Find,1,work,30
Find,1,wait,75
Find,2,work,14
Find,2,wait,244
Find,3,work,22
Find,3,wait,262
Find,4,work,23
Find,4,wait,324
Find,5,work,34
Find,5,wait,518
Find,6,work,71
Find,6,wait,948
Find,1,work,13
Find,1,wait,60
Find,2,work,86
Find,2,wait,121
Find,3,work,14
Find,3,wait,247
Find,4,work,41
Find,4,wait,307
Find,5,work,19
Find,5,wait,363
Find,6,work,72
Find,6,wait,585
Find,7,work,44
Find,7,wait,1018
Find,1,work,16
Find,1,wait,117
Find,2,work,61
Find,2,wait,87
Find,3,work,20
Find,3,wait,223
Find,4,work,26
Find,4,wait,279
Find,5,work,13
Find,5,wait,382
Find,6,work,100
Find,6,wait,393
Find,7,work,40
Find,7,wait,772
Find,8,work,43
Find,8,wait,1270
Find,1,work,36
Find,1,wait,134
Find,2,work,21
Find,2,wait,257
Find,3,work,19
Find,3,wait,295
Find,4,work,11
Find,4,wait,420
Find,5,work,43
Find,5,wait,465
Find,6,work,44
Find,6,wait,872
Find,7,work,44
Find,7,wait,1226
