Stage,Assignment,Cost
Find,1,0.01
Find,2,0.01
Find,3,0.01
Find,4,0.01
Find,5,0.01
Find,6,0.01
Find,7,0.01
Find,8,0.01
Find,9,0.01
Find,10,0.01
