Stage,Assignment,Cost
Find,1,0.06
Find,2,0.06
Find,3,0.06
Find,4,0.06
Find,5,0.06
Find,6,0.06
Find,7,0.06
Find,8,0.06
Find,9,0.06
Find,10,0.06
Find,1,0.06
Find,2,0.06
Find,3,0.06
Find,4,0.06
Find,5,0.06
Find,6,0.06
Find,7,0.06
Find,8,0.06
Find,9,0.06
Find,10,0.06
