Stage,Assignment,Cost
Find,1,0.08
Find,2,0.08
Find,3,0.08
Find,4,0.08
Find,5,0.08
Find,6,0.08
Find,1,0.08
Find,2,0.08
Find,3,0.08
Find,4,0.08
Find,5,0.08
Find,6,0.08
Find,1,0.08
Find,2,0.08
Find,3,0.08
Find,4,0.08
Find,5,0.08
Find,6,0.08
