Stage,Assignment,Wait Type,Time
Find,1,work,12
Find,1,wait,69
Find,2,work,55
Find,2,wait,382
Find,3,work,67
Find,3,wait,464
Find,4,work,62
Find,4,wait,776
Find,5,work,25
Find,5,wait,932
Find,6,work,138
Find,6,wait,933
Find,1,work,13
Find,1,wait,94
Find,2,work,121
Find,2,wait,176
Find,3,work,38
Find,3,wait,326
Find,4,work,64
Find,4,wait,837
Find,5,work,53
Find,5,wait,879
Find,6,work,20
Find,6,wait,980
Find,1,work,12
Find,1,wait,80
Find,2,work,75
Find,2,wait,207
Find,3,work,81
Find,3,wait,304
Find,4,work,73
Find,4,wait,700
Find,5,work,22
Find,5,wait,956
Find,6,work,52
Find,6,wait,959
