Stage,Assignment,Cost
Find,1,0.5
Find,2,0.5
Find,3,0.5
Find,4,0.5
Find,5,0.5
Find,6,0.5
Find,7,0.5
Find,8,0.5
Find,9,0.5
Find,10,0.5
