Stage,Assignment,Wait Type,Time
Find,1,work,38
Find,1,wait,205
Find,2,work,48
Find,2,wait,223
Find,3,work,38
Find,3,wait,274
Find,4,work,25
Find,4,wait,361
Find,5,work,137
Find,5,wait,262
Find,6,work,98
Find,6,wait,428
Find,7,work,85
Find,7,wait,530
Find,8,work,81
Find,8,wait,546
Find,9,work,18
Find,9,wait,949
Find,10,work,134
Find,10,wait,954
Find,1,work,38
Find,1,wait,180
Find,2,work,94
Find,2,wait,179
Find,3,work,99
Find,3,wait,242
Find,4,work,167
Find,4,wait,206
Find,5,work,49
Find,5,wait,404
Find,6,work,66
Find,6,wait,454
Find,7,work,61
Find,7,wait,534
Find,8,work,167
Find,8,wait,594
Find,1,work,89
Find,1,wait,89
Find,2,work,58
Find,2,wait,121
Find,3,work,55
Find,3,wait,148
Find,4,work,32
Find,4,wait,177
Find,5,work,151
Find,5,wait,177
Find,6,work,18
Find,6,wait,386
Find,7,work,104
Find,7,wait,309
Find,8,work,54
Find,8,wait,399
Find,9,work,136
Find,9,wait,382
Find,10,work,122
Find,10,wait,804
Find,11,work,111
Find,11,wait,971
