Stage,Assignment,Cost
Find,1,0.1
Find,2,0.1
Find,3,0.1
Find,4,0.1
Find,5,0.1
Find,6,0.1
Find,7,0.1
Find,8,0.1
Find,9,0.1
Find,10,0.1
