Stage,Assignment,Wait Type,Time
Find,1,work,15
Find,1,wait,338
Find,2,work,25
Find,2,wait,500
Find,3,work,23
Find,3,wait,560
Find,4,work,26
Find,4,wait,712
Find,5,work,57
Find,5,wait,7209
Find,6,work,24
Find,6,wait,12900
Find,7,work,104
Find,7,wait,16765
Find,8,work,17
Find,8,wait,16965
Find,9,work,8
Find,9,wait,18396
Find,10,work,16
Find,10,wait,32649
